index,district,grab_and_go_meals,offering,dates,hours,link,meals,school_name,school_address,city,state,zip_code,latitude,longitude,county,country,accuracy_score,accuracy_type,main_office_phone,grades,level,notes
1033,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Lowell Elementary School,1700 Sunshine Terrace SE,Albuquerque,NM,87106,35.063442,-106.629096,Bernalillo County,US,1,rooftop,(505) 764-2011,K–5,Elementary School,
1034,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Montezuma Elementary School,3100 Indian School NE,Albuquerque,NM,87106,35.101053,-106.609689,Bernalillo County,US,1,rooftop,(505) 260-2040,K–5,Elementary School,
1035,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Jefferson Middle School,712 Girard Blvd. NE,Albuquerque,NM,87106,35.088414,-106.611279,Bernalillo County,US,1,rooftop,(505) 255-8691,6–8,Middle School,
1036,Albuquerque Public Schools,,,,,,,Griegos Elementary School,4040 San Isidro St. NW,Albuquerque,NM,87107,35.128680,-106.663726,Bernalillo County,US,1,rooftop,(505) 345-3661,K–5,Elementary School,
1037,Albuquerque Public Schools,,,,,,,Juvenile Detention Center Educational Unit Middle School,5100 2nd St. NW,Albuquerque,NM,87107,35.132720,-106.636464,Bernalillo County,US,1,rooftop,(505) 468-7223,6–12,Middle School,
1038,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,MacArthur Elementary School,1100 MacArthur Rd. NW,Albuquerque,NM,87107,35.140444,-106.638281,Bernalillo County,US,0.33,place,(505) 344-1482,K–5,Elementary School,
1039,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Alvarado Elementary School,1100 Solar Rd. NW,Albuquerque,NM,87107,35.150449,-106.653484,Bernalillo County,US,1,rooftop,(505) 344-4412,K–5,Elementary School,
1040,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Valley High School,1505 Candelaria Rd. NW,Albuquerque,NM,87107,35.127365,-106.660547,Bernalillo County,US,1,rooftop,(505) 345-9021,9–12,High School,
1041,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,La Luz Elementary School,225 Griegos Road NW,Albuquerque,NM,87107,35.131131,-106.640264,Bernalillo County,US,1,rooftop,(505) 761-8415,K–5,Elementary School,
1042,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Cochiti Elementary School,3100 San Isidro Rd. NW,Albuquerque,NM,87107,35.115919,-106.664140,Bernalillo County,US,0.9,rooftop,(505) 345-1432,PreK–5,Elementary School,
1043,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Garfield STEM Magnet Middle School,3501 Sixth Street NW,Albuquerque,NM,87107,35.140444,-106.638281,Bernalillo County,US,0.33,place,(505) 344-1647,6–8,Middle School,
1044,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Taft Middle School,620 Schulte Road NW,Albuquerque,NM,87107,35.155403,-106.641611,Bernalillo County,US,1,rooftop,(505) 344-4389,6–8,Middle School,
1045,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Mission Avenue STEM Magnet Elementary School,725 Mission Avenue NE,Albuquerque,NM,87107,35.141644,-106.616617,Bernalillo County,US,1,rooftop,(505) 344-5269,PreK–5,Elementary School,
1046,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Los Ranchos Elementary School,7609 Fourth St. NW,Albuquerque,NM,87107,35.170016,-106.636740,Bernalillo County,US,1,rooftop,(505) 898-0794,PreK–5,Elementary School,
1047,Albuquerque Public Schools,,,,,,,Transition Services High School,1100 Cardenas Dr. SE,Albuquerque,NM,87108,35.063384,-106.579393,Bernalillo County,US,1,rooftop,(505) 872-6800,Ages 18–22,High School,
1048,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Whittier Elementary School,1110 Quincy St. SE,Albuquerque,NM,87108,35.064685,-106.588433,Bernalillo County,US,1,rooftop,(505) 255-2008,PreK–5,Elementary School,
1049,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Wilson Middle School,1138 Cardenas Drive SE,Albuquerque,NM,87108,35.062061,-106.578484,Bernalillo County,US,1,rooftop,(505) 268-3961,6–8,Middle School,
1050,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Zia Elementary School,440 Jefferson St. NE,Albuquerque,NM,87108,35.085043,-106.591904,Bernalillo County,US,1,rooftop,(505) 260-2020,K–5,Elementary School,
1051,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Highland High School,4700 Coal Avenue SE,Albuquerque,NM,87108,35.074907,-106.591135,Bernalillo County,US,1,rooftop,(505) 265-3711,9–12,High School,
1052,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Emerson Elementary School,620 Georgia St. SE,Albuquerque,NM,87108,35.068163,-106.570886,Bernalillo County,US,1,rooftop,(505) 255-9091,PreK–5,Elementary School,
1053,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Van Buren Middle School,700 Louisiana Blvd. SE,Albuquerque,NM,87108,35.066386,-106.566645,Bernalillo County,US,1,rooftop,(505) 268-3833,6–8,Middle School,
1054,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,La Mesa Elementary School,7500 Copper Avenue NE,Albuquerque,NM,87108,35.079557,-106.562589,Bernalillo County,US,1,rooftop,(505) 262-1581,PreK–5,Elementary School,
1055,Albuquerque Public Schools,,,,,,,Nex+Gen Academy Magnet High School,5325 Montgomery NE,Albuquerque,NM,87109,35.131079,-106.583204,Bernalillo County,US,1,range_interpolation,(505) 878-6400,9–12,High School,
1056,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Arroyo Del Oso Elementary School,6504 Harper Dr. NE,Albuquerque,NM,87109,35.151982,-106.575332,Bernalillo County,US,1,rooftop,(505) 821-9393,K–5,Elementary School,
1057,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,E. G. Ross Elementary School,6700 Palomas Ave. NE,Albuquerque,NM,87109,35.172222,-106.573896,Bernalillo County,US,1,rooftop,(505) 821-0185,PreK–5,Elementary School,
1058,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Dennis Chavez Elementary School,7500 Barstow St. NE,Albuquerque,NM,87109,35.168198,-106.549992,Bernalillo County,US,1,rooftop,(505) 821-1810,K–5,Elementary School,
1059,Albuquerque Public Schools,,,,,,,Desert Willow Family Magnet Charter School,3303 Monroe NE,Albuquerque,NM,87110,35.121983,-106.591836,Bernalillo County,US,1,rooftop,(505) 888-1647,,Charter School,
1060,Albuquerque Public Schools,,,,,,,Freedom Magnet High School,5200 Cutler NE,Albuquerque,NM,87110,35.105140,-106.585821,Bernalillo County,US,0.6,rooftop,(505) 884-6012,9–12,High School,
1061,Albuquerque Public Schools,,,,,,,eCADEMY Magnet High School,5300 Cutler NE,Albuquerque,NM,87110,35.105159,-106.585239,Bernalillo County,US,0.6,rooftop,(505) 247-4209,9–12,High School,
1062,Albuquerque Public Schools,,,,,,,Del Norte High School,5323 Montgomery Blvd. NE,Albuquerque,NM,87109,35.133134,-106.583358,Bernalillo County,US,0.9,rooftop,(505) 883-7222,9–12,High School,
1063,Albuquerque Public Schools,,,,,,,Sandia High School,7801 Candelaria NE,Albuquerque,NM,87110,35.118328,-106.556632,Bernalillo County,US,0.9,rooftop,(505) 294-1511,9–12,High School,
1064,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Hayes Dual Language Magnet Middle School,1100 Texas St. NE,Albuquerque,NM,87110,35.090398,-106.552944,Bernalillo County,US,1,rooftop,(505) 265-7741,6–8,Middle School,
1065,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Inez Science and Technology Magnet Elementary School,1700 Pennsylvania St. NE,Albuquerque,NM,87110,35.100996,-106.558545,Bernalillo County,US,1,rooftop,(505) 299-9010,K–5,Elementary School,
1066,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Comanche Elementary School,3505 Pennsylvania St. NE,Albuquerque,NM,87110,35.123812,-106.561119,Bernalillo County,US,1,rooftop,(505) 884-5275,PreK–5,Elementary School,
1067,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Hodgin Elementary School,3801 Morningside Dr. NE,Albuquerque,NM,87110,35.125287,-106.602371,Bernalillo County,US,1,rooftop,(505) 881-9855,K–5,Elementary School,
1068,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,McKinley Middle School,4500 Comanche Road NE,Albuquerque,NM,87110,35.121726,-106.593980,Bernalillo County,US,1,rooftop,(505) 881-9390,6–8,Middle School,
1069,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Bel-Air Elementary School,4725 Candelaria Rd. NE,Albuquerque,NM,87110,35.117588,-106.593225,Bernalillo County,US,1,rooftop,(505) 888-4033,PreK–5,Elementary School,
1070,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,New Futures High School,5400 Cutler NE,Albuquerque,NM,87110,35.104836,-106.584939,Bernalillo County,US,0.6,rooftop,(505) 883-5680,9–12,High School,Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.
1071,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Governor Bent Elementary School,5700 Hendrix Rd. NE,Albuquerque,NM,87110,35.128974,-106.581123,Bernalillo County,US,1,rooftop,(505) 881-9797,K–5,Elementary School,
1072,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Zuni Technology and Communication Magnet Elementary School,6300 Claremont Ave. NE,Albuquerque,NM,87110,35.111869,-106.575524,Bernalillo County,US,1,rooftop,(505) 881-8313,K–5,Elementary School,
1073,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Mark Twain Elementary School,6316 Constitution Ave. NE,Albuquerque,NM,87110,35.093651,-106.573590,Bernalillo County,US,1,rooftop,(505) 255-8337,K–5,Elementary School,
1074,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Cleveland Middle School,6910 Natalie St. NE,Albuquerque,NM,87110,35.127706,-106.570069,Bernalillo County,US,0.9,rooftop,(505) 881-9227,6–8,Middle School,
1075,Albuquerque Public Schools,,,,,,,Eisenhower Middle School,11001 Camero Rd. NE,Albuquerque,NM,87111,35.145754,-106.518095,Bernalillo County,US,1,rooftop,(505) 292-2530,6–8,Middle School,
1076,Albuquerque Public Schools,,,,,,,Eldorado High School,11300 Montgomery Blvd NE,Albuquerque,NM,87111,35.129318,-106.509799,Bernalillo County,US,1,rooftop,(505) 296-4871,9–12,High School,
1077,Albuquerque Public Schools,,,,,,,John Baker Elementary School,12015-B Tivoli Ave. NE,Albuquerque,NM,87111,35.121291,-106.506643,Bernalillo County,US,1,range_interpolation,(505) 298-7486,K–5,Elementary School,
1078,Albuquerque Public Schools,,,,,,,Madison Middle School,3501 Moon St. NE,Albuquerque,NM,87111,35.121666,-106.543379,Bernalillo County,US,1,rooftop,(505) 299-4735,6–8,Middle School,
1079,Albuquerque Public Schools,,,,,,,Osuna Elementary School,4715 Moon St. NE,Albuquerque,NM,87111,35.135380,-106.543067,Bernalillo County,US,1,rooftop,(505) 296-4811,K–5,Elementary School,
1080,Albuquerque Public Schools,,,,,,,S. Y. Jackson Elementary School,4720 Cairo Dr. NE,Albuquerque,NM,87111,35.134916,-106.509511,Bernalillo County,US,1,rooftop,(505) 296-9536,K–5,Elementary School,
1081,Albuquerque Public Schools,,,,,,,Hubert Humphrey Elementary School,9801 Academy Hills Dr. NE,Albuquerque,NM,87111,35.151248,-106.530498,Bernalillo County,US,1,rooftop,(505) 821-4981,K–5,Elementary School,
1082,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Mitchell Elementary School,10121 Comanche Rd. NE,Albuquerque,NM,87111,35.124103,-106.527210,Bernalillo County,US,1,rooftop,(505) 299-1937,K–5,Elementary School,
1083,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,Georgia O'Keeffe Elementary School,11701 San Victorio Ave. NE,Albuquerque,NM,87111,35.148999,-106.509894,Bernalillo County,US,1,rooftop,(505) 293-4259,K–5,Elementary School,
